"rings"	"length"	"diameter"	"height"	"whole"	"shucked"	"viscera"	"shell"	"infant"
"462"	6	74	56	0.085	43.4	21.9	7	12.4	1
"463"	7	97	73	0.15	182.9	82.9	39.8	54.6	0
"464"	5	84	64	0.115	75.2	33.8	18.4	20	1
"465"	8	117	91	0.15	181.2	81.9	46	46.7	0
"466"	13	110	84	0.17	169.3	67.2	48.1	49	0
"467"	7	82	60	0.1	56.4	25.1	11.4	17.5	1
"468"	13	103	80	0.125	191	68.2	50.7	52	0
"469"	9	106	79	0.115	113.7	49.8	27.5	32.2	0
"470"	16	137	109	0.18	353.6	149.9	78.4	97	0
"471"	17	100	77	0.105	99.6	35.9	21.9	34	0
"472"	11	116	88	0.125	157.1	72.6	39.1	39	0
"473"	9	113	90	0.175	201.9	89.4	47.5	52.9	0
"474"	21	135	111	0.2	287.7	109	53.3	93	0
"475"	9	131	98	0.16	240.8	109.1	52.3	64.5	0
"476"	11	128	100	0.17	303.5	138.6	65.2	81.8	0
"477"	9	103	84	0.135	125.9	56.3	25.4	43	0
"478"	7	71	56	0.085	58.1	19	7.9	23	1
"479"	7	78	58	0.125	61.1	24.2	16.4	18	0
"480"	10	117	94	0.165	281.8	160	45.8	59	0
"481"	15	84	65	0.115	57.7	20	11.4	22.7	0
"482"	8	118	94	0.145	194.8	90.6	47.2	57.8	1
"483"	5	57	43	0.075	21.2	8.3	4.6	7	0
"484"	7	99	76	0.12	114.6	53.1	25.7	28.8	0
"485"	7	124	92	0.17	225.4	107	52.7	59.2	0
"486"	14	100	77	0.145	152.3	49.2	39	40.8	0
"487"	11	125	94	0.145	196.8	95	40	53	0
"488"	10	93	65	0.14	152.3	72.4	30.7	41.8	1
"489"	10	101	75	0.115	117.9	52.7	24	33.4	0
"490"	7	109	86	0.155	160.7	81.8	28.8	45.6	0
"491"	7	101	80	0.125	116.6	49.2	26	35	0
"492"	12	83	65	0.105	76	31.9	15.7	24	0
"493"	8	92	68	0.09	76.8	35.9	13.6	22	1
"494"	11	140	110	0.17	336.8	150.7	65.3	64	0
"495"	11	92	76	0.13	127.8	60	30.5	32	0
"496"	11	113	86	0.15	164.3	66.4	33.7	58	1
"497"	16	121	97	0.175	229	86.5	54	81	0
"498"	5	64	48	0.09	31.5	14	5.3	8.5	1
"499"	17	122	92	0.17	255.6	82	51.4	74	1
"500"	8	114	91	0.15	221.4	108	51	54	0
"501"	13	140	110	0.2	304.6	138.6	61.2	88.1	0
"502"	6	65	48	0.075	30.4	13	6.1	9	1
"503"	11	127	104	0.165	268.1	101.3	59.2	82.4	0
"504"	7	92	75	0.12	92.1	35.5	22	30	0
"505"	9	124	102	0.175	254.1	108.3	64.6	64.5	0
"506"	15	111	88	0.15	218.4	83.2	42.4	88.1	0
"507"	8	129	98	0.16	228.8	100.3	57.8	63.8	0
"508"	10	114	87	0.15	165.9	77.5	31.2	49	0
"509"	14	119	97	0.145	250.3	100.7	58.5	66	0
"510"	19	113	91	0.175	202.6	68.4	41.4	70	0
"511"	7	74	56	0.095	53.1	24.4	10.4	16	1
"512"	8	111	89	0.175	229.3	110.2	48.8	55.7	0
"513"	10	141	112	0.205	476.2	198.3	100.1	124.8	0
"514"	10	102	75	0.15	168.3	76.9	31.2	51	1
"515"	11	142	111	0.175	428	249.1	74.5	86.8	0
"516"	3	36	25	0.05	4.6	1.7	1.1	2	0
"517"	9	130	98	0.155	224.4	109	45.6	61.1	0
"518"	10	117	92	0.185	184.4	72.7	42.6	57	0
"519"	7	62	45	0.08	26.9	10.8	4.8	10	0
"520"	11	127	98	0.175	275	124.6	54.1	79	0
"521"	23	90	76	0.165	163.3	50	38.3	53	0
"522"	8	71	52	0.09	38.5	15.4	7.6	13	1
"523"	13	119	93	0.175	223	80.3	50.8	78	0
"524"	10	131	105	0.19	271.9	112.8	64.3	79.7	0
"525"	7	99	74	0.12	118.8	56	22	27.5	0
"526"	9	88	73	0.115	100.2	48.7	16.8	29.3	1
"527"	19	139	114	0.23	377	173.3	87	100	0
"528"	8	106	82	0.14	150.9	69.9	34.3	42.1	0
"529"	11	150	111	0.215	440.2	212.3	104.7	105.7	0
"530"	9	102	74	0.21	236.6	101.6	58.4	68.6	0
"531"	14	133	105	0.18	315.7	135.6	45.8	91.2	0
"532"	10	125	100	0.14	219.2	108.9	43.3	59	0
"533"	11	145	120	0.2	347.4	139.4	71.7	119	0
"534"	7	73	53	0.085	42.6	18.9	9.8	12	1
"535"	10	119	92	0.155	209.1	91.3	48	61.7	0
"536"	11	126	96	0.15	254.2	132.1	48.5	62	0
"537"	7	66	50	0.105	34.3	13.1	7	12	1
"538"	11	136	110	0.175	294.6	142.6	56.4	85.9	0
"539"	12	134	106	0.205	280.3	128.6	49.3	83.2	0
"540"	12	108	83	0.145	148	52.7	33.6	49	0
"541"	5	77	60	0.09	49.4	24.5	8.8	13.5	1
"542"	8	122	96	0.14	206.2	87.5	52.3	54	0
"543"	5	60	44	0.08	24.2	9.5	8.4	7	1
"544"	11	130	104	0.21	335.7	133.3	61.6	92	0
"545"	10	116	86	0.13	159.6	73	34.6	45.7	0
"546"	4	50	36	0.065	16.1	6.9	3.7	4.3	1
"547"	16	144	119	0.225	393.8	160.9	84.6	132	0
"548"	8	102	81	0.15	140.7	69.4	26.8	37.7	0
"549"	8	104	80	0.12	116	46.8	26.3	37	0
"550"	8	67	51	0.075	32.7	12.3	6.9	11.4	0
"551"	5	54	38	0.06	19.8	8.9	3.4	6	1
"552"	10	91	70	0.14	103.7	44.2	25.3	27	0
"553"	12	114	89	0.145	148.1	61.2	34.4	36.5	1
"554"	12	122	98	0.17	227.4	92.1	56.5	68.8	0
"555"	12	110	92	0.13	141.7	61	29.1	41	0
"556"	10	124	96	0.165	202.5	106.5	87.3	64.8	0
"557"	8	115	86	0.13	148.5	57.9	40.1	44	1
"558"	7	95	73	0.1	26.3	40.5	17.5	24.6	1
"559"	11	85	69	0.11	73.3	25	16.2	23.4	0
"560"	12	108	84	0.155	147.7	70.3	30.4	43	0
"561"	9	101	76	0.135	107.7	52.9	19	33	1
"562"	7	89	62	0.09	67.2	31.1	18	17.1	1
"563"	6	99	75	0.115	124.9	56.4	28.6	31	0
"564"	10	108	85	0.12	163.4	58.9	30.6	39	0
"565"	7	75	57	0.09	51.4	20.9	12.4	15	1
"566"	11	126	103	0.175	239.1	98.4	49.4	74	0
"567"	10	131	102	0.175	283	117.7	74.5	72.8	0
"568"	10	106	87	0.155	139.8	57.6	31.9	41	0
"569"	10	119	92	0.17	225.9	114	51.1	53	0
"570"	11	134	100	0.2	253.8	115.2	59.7	70.2	0
"571"	6	86	68	0.105	88.1	47.7	14.9	21.5	1
"572"	8	109	86	0.14	154.4	57.8	38	52.3	1
"573"	10	134	117	0.16	261.8	108.9	58.9	82.6	0
"574"	8	79	60	0.12	59.9	25.3	13.6	17.9	1
"575"	11	117	95	0.165	210.6	91.6	43.4	60	0
"576"	6	87	66	0.095	78.6	43.8	15	17.7	1
"577"	7	101	77	0.12	120.1	47.8	28.4	37	1
"578"	16	90	70	0.14	94.8	42	21.8	25.5	1
"579"	11	130	105	0.185	297.6	133	67.4	75.6	0
"580"	13	119	100	0.18	210.6	88.1	38.4	78	0
"581"	16	114	93	0.18	199.9	81	55.4	59	0
"582"	11	99	77	0.135	132.5	60.1	32.7	37	0
"583"	7	123	90	0.15	239.6	141.4	41.9	50.1	0
"584"	13	102	80	0.15	149	57.3	33.5	47	1
"585"	10	104	82	0.125	139.7	58.9	32.5	43	0
"586"	9	122	94	0.165	210.4	99.6	48.4	53.4	0
"587"	6	78	60	0.1	61.7	27.7	14.7	17	1
"588"	10	122	90	0.19	216.1	103.4	49.9	58.7	0
"589"	9	121	98	0.18	233.4	91.4	58	74.9	0
"590"	9	130	100	0.185	288.3	148.2	59.1	68.2	0
"591"	9	122	97	0.145	266.1	156.6	45.1	57.3	0
"592"	4	39	27	0.04	6.5	2.7	1	1.9	1
"593"	12	113	90	0.135	197.7	77.4	29.9	62	0
"594"	9	125	103	0.17	266.2	114.5	60.1	72.2	0
"595"	9	137	109	0.205	358.5	162.9	83.2	92.2	0
"596"	7	77	59	0.085	50.7	20.6	11.5	17	1
"597"	13	118	93	0.16	220.1	101.2	50.5	59	0
"598"	12	94	74	0.135	109.4	44.4	26.5	34	0
"599"	11	110	86	0.145	157.9	74.9	34.2	44.6	1
"600"	20	135	109	0.195	346.9	136.9	73.9	121	0
"601"	6	75	56	0.08	45.2	21	9.4	13	1
"602"	12	122	96	0.19	259.1	104.3	64.5	73	0
"603"	7	74	55	0.09	41.3	19.2	7.9	11.6	1
"604"	15	118	95	0.145	210.6	88.3	52.4	65	0
"605"	14	86	68	0.125	76.8	27.5	12.2	29.2	1
"606"	6	83	62	0.095	68	36.2	11.4	16.6	1
"607"	9	100	80	0.125	119.5	54	25.5	33.2	0
"608"	11	121	94	0.165	246.3	120.5	52.4	58.5	0
"609"	11	126	93	0.15	206.3	85.3	48	65	1
"610"	9	120	102	0.185	257	121.9	54.9	63	0
"611"	15	89	69	0.14	95.2	41.1	20.3	21.7	0
"612"	10	100	80	0.125	133.5	52.2	26.3	44	0
"613"	9	105	80	0.155	141.4	56.4	32.1	45	0
"614"	10	126	100	0.175	222.1	93.4	53.6	65.8	0
"615"	12	124	96	0.15	253.2	125.7	51.5	61.8	0
"616"	9	115	89	0.16	167.8	80.1	39.6	47.8	0
"617"	9	106	86	0.13	140.9	69.2	28.3	37.8	1
"618"	10	127	95	0.15	236.9	106.6	61.4	58.2	0
"619"	3	33	24	0.03	4.3	1.4	1	1	1
"620"	8	89	70	0.12	88.5	38.4	19.1	27	0
"621"	10	108	81	0.15	151.7	61.4	41.5	38	1
"622"	7	72	50	0.115	93	42	21.1	25.6	1
"623"	13	121	94	0.14	187.8	67.7	40.2	64	1
"624"	14	115	91	0.145	233	116.2	45.5	60	0
"625"	9	116	98	0.13	226.7	117.2	51.3	47.4	0
"626"	9	105	86	0.135	168.7	86.5	36	36.3	0
"627"	8	99	79	0.135	126.7	60.7	25.9	29.9	0
"628"	8	94	72	0.1	94.1	32.7	17.8	27.7	0
"629"	8	119	96	0.16	241.9	104.5	59.2	64	0
"630"	10	128	103	0.165	262.3	98.9	51.1	82	0
"631"	9	100	71	0.14	105.6	42.5	29.8	28	0
"632"	15	128	113	0.23	304.2	128.8	74.4	81.2	0
"633"	10	131	101	0.175	258.1	124.1	59.3	65.2	0
"634"	10	103	83	0.14	138.7	62.3	30.4	40	0
"635"	16	123	103	0.17	228	86.1	44.9	84	0
"636"	12	97	77	0.125	95.5	40	15.7	34	0
"637"	6	54	41	0.05	16.8	6	3.7	5.8	1
"638"	12	142	111	0.17	294	107.5	76	86.2	0
"639"	9	109	80	0.14	155.6	73.6	43	36	0
"640"	9	100	75	0.145	115.9	47.8	27.5	37	1
"641"	9	98	75	0.15	115.1	44	28.8	38	0
"642"	8	81	62	0.095	68.5	35.7	12.8	17.1	1
"643"	9	105	80	0.13	124.4	53.1	29.4	36.8	0
"644"	10	142	108	0.205	316.1	160.4	57.4	87	0
"645"	9	116	88	0.16	165.9	67.3	40.1	49.7	0
"646"	10	122	95	0.155	196.6	91.3	45.6	53.2	0
"647"	8	95	73	0.14	90.9	34.2	23.6	31.6	1
"648"	9	131	104	0.17	228.9	106	44.6	69.6	0
"649"	6	97	76	0.12	94.5	41.5	21.5	29.4	1
"650"	12	104	81	0.125	128.7	48.3	34.7	42	0
"651"	12	123	101	0.165	268	106.3	56.3	82	0
"652"	5	55	39	0.07	16	6.2	4.3	5	0
"653"	12	150	119	0.205	444.1	216.6	84.2	126	0
"654"	8	91	87	0.11	85.3	39	18	24.1	1
"655"	9	108	85	0.14	148.4	64	27.9	50	1
"656"	10	118	92	0.145	185.8	76	48	51	0
"657"	8	96	74	0.12	107.2	50.2	22.8	30	1
"658"	19	118	95	0.16	189.1	76.3	36.8	54	0
"659"	7	109	78	0.135	156.7	84.5	36.3	31.2	0
"660"	13	140	108	0.205	348	157.7	74.6	97.3	0
"661"	10	103	83	0.135	142.5	57	30.4	49	1
"662"	8	113	91	0.15	195.9	88.8	41	55	0
"663"	8	107	92	0.145	157.5	67.9	40.1	40	0
"664"	11	120	99	0.185	222.9	101.1	52.7	73.4	0
"665"	11	137	113	0.175	327.6	155.5	75	87.6	0
"666"	9	119	95	0.165	242.6	124.2	48.7	54.8	0
"667"	10	106	85	0.13	149.1	59.9	27.1	49	0
"668"	7	67	53	0.105	44.4	18.7	11.2	15	0
"669"	15	117	91	0.225	211	76.3	44.2	73	0
"670"	9	118	95	0.165	215.4	90.9	48.8	61.9	0
"671"	8	97	74	0.14	101.3	48.5	17.6	29.3	1
"672"	10	126	97	0.165	246.6	131.3	46.3	60.7	0
"673"	9	129	99	0.15	241.9	120.6	44.5	67.8	0
"674"	8	100	77	0.12	103.2	39.4	26.1	33	1
"675"	11	136	104	0.165	295.5	144.8	55.8	81.2	0
"676"	10	85	76	0.105	65.3	25.7	15.7	20	1
"677"	9	88	71	0.125	95.5	26.4	16.3	38	0
"678"	9	122	97	0.17	256.2	119.4	60.7	66	0
"679"	20	113	87	0.185	206.4	70.8	40.9	62	0
"680"	11	92	70	0.12	97.7	38.6	21	31	1
"681"	8	109	87	0.135	154.3	74.4	29.6	45.4	1
"682"	11	94	75	0.105	102.6	46.4	28.4	26	0
"683"	8	97	73	0.105	104.1	39	24.6	36.4	1
"684"	9	93	68	0.105	97.2	46.2	20.7	24.5	0
"685"	7	93	72	0.11	99.1	53.3	17	24.2	0
"686"	9	123	103	0.135	224.3	109	46.1	58	0
"687"	8	110	83	0.145	156.3	74.6	32	44.3	1
"688"	6	75	56	0.08	46.9	22.5	9.1	13.4	1
"689"	10	124	96	0.165	217.1	96.2	51.5	61	0
"690"	9	117	93	0.15	196	86.3	50.9	49.4	0
"691"	8	91	69	0.11	86.8	41.4	17.1	24.3	1
"692"	14	126	100	0.16	244	98.1	60	69	0
"693"	7	81	58	0.09	56.5	22.4	15	16.3	1
"694"	6	85	66	0.115	65.3	26.3	15.4	20.6	1
"695"	5	42	30	0.055	9.3	3.4	2.4	3	1
"696"	6	54	40	0.08	24.1	9.3	5.6	8	0
"697"	11	140	115	0.2	347.3	155.1	79.3	92.2	0
"698"	9	123	95	0.19	286.7	146.3	61	65.7	0
"699"	7	67	50	0.09	36.2	15.1	8.3	12	0
"700"	14	133	107	0.155	276.6	119.2	51.3	97	0
"701"	10	126	95	0.145	212.1	103.3	43.9	56	1
"702"	6	60	46	0.095	27.7	11.2	7.3	7.4	1
"703"	13	86	65	0.11	73.5	27.1	18.7	24	1
"704"	13	100	80	0.15	161.7	54.6	22.4	59	0
"705"	22	117	90	0.17	173.7	66.5	32.7	54	0
"706"	11	126	98	0.17	234.9	105.1	54.6	67.8	0
"707"	10	79	59	0.1	54.3	26.8	6.5	17	1
"708"	11	139	112	0.22	366.8	169.1	84.4	91	0
"709"	10	98	73	0.145	126.9	39.9	32.5	44	0
"710"	8	105	80	0.13	128.9	69	25.7	40	1
"711"	10	119	96	0.185	235.7	105.2	59.5	62.8	0
"712"	13	119	99	0.185	257	83.2	44.8	97	0
"713"	8	118	94	0.135	233.7	107.8	55.8	56	0
"714"	5	37	27	0.04	5.4	2.1	1.1	1.8	1
"715"	12	119	93	0.155	205.2	92.9	22.4	61	0
"716"	9	103	78	0.12	113	47	27	35.8	1
"717"	9	100	74	0.15	212.3	98.8	44.6	59.2	0
"718"	12	107	82	0.155	126.3	54.9	28.3	36.3	1
"719"	8	85	64	0.085	52.4	24.7	13.4	14.5	1
"720"	10	133	103	0.18	277.8	118.9	64.8	79	0
"721"	15	90	70	0.145	105	41.7	20	33.1	1
"722"	10	106	86	0.135	175.8	56	43.3	50	0
"723"	8	103	78	0.125	114.1	47.6	25.3	37	1
"724"	8	104	93	0.15	190.1	91.2	39.8	51	0
"725"	10	126	100	0.185	272.4	115.7	62.5	76.8	0
"726"	9	99	79	0.125	108.3	47.5	26.9	31	0
"727"	10	123	95	0.17	225.8	95.9	60.4	60	0
"728"	7	108	82	0.13	112	47.5	21.3	35	0
"729"	10	125	100	0.175	211.3	92.3	51.6	61	0
"730"	11	113	88	0.175	174.7	82.8	42	42	1
"731"	7	87	67	0.11	87.7	41.5	14.3	26.3	0
"732"	10	117	96	0.185	208	86.8	53	57	0
"733"	10	110	86	0.18	165.3	88.1	31.8	45	0
"734"	27	110	93	0.18	242.5	64.9	41	105	0
"735"	3	33	24	0.05	4.2	1.5	0.9	2.8	1
"736"	9	110	84	0.155	182.4	99	36.1	41	1
"737"	9	86	70	0.09	79.4	31.5	17.8	24	0
"738"	9	132	101	0.19	280.9	125.1	67.5	74.9	0
"739"	10	125	100	0.185	248.5	119.9	49.6	67	0
"740"	11	144	113	0.19	416.2	216.3	86.1	100.6	0
"741"	9	102	80	0.125	111.5	52.3	23.9	30.5	1
"742"	7	74	55	0.1	44	18.8	9	13	1
"743"	5	54	40	0.07	20	6.8	4.9	7	1
"744"	8	89	64	0.12	75.6	30.4	16.5	24	1
"745"	14	99	77	0.135	126.7	40	24.5	52	0
"746"	7	67	49	0.09	40.3	19.2	8.1	9.6	1
"747"	6	72	54	0.1	43.4	17.7	9.9	14.3	0
"748"	11	64	49	0.075	31.1	11.7	7.6	9.8	0
"749"	17	106	83	0.175	147.9	52.2	27.9	52.9	0
"750"	9	120	94	0.165	211.8	100.8	48.2	55	0
"751"	7	71	54	0.075	40.8	60.9	9.2	11.9	1
"752"	10	115	90	0.135	161.4	72.3	35.2	50.8	1
"753"	10	130	105	0.185	324.4	132.9	64.5	95.4	0
"754"	9	111	86	0.135	162.4	81.1	32.6	44.3	0
"755"	7	90	70	0.135	98.8	44.1	18.9	28.1	1
"756"	9	66	52	0.08	40	12.5	10	14	0
"757"	13	118	94	0.18	224.7	84.1	56.1	72	0
"758"	13	118	97	0.205	246.3	90.5	47.6	84	0
"759"	10	117	95	0.16	210.1	96	46.8	57	1
"760"	12	85	65	0.135	76.4	29.3	15.8	28	0
"761"	12	145	101	0.185	395.6	205.2	85.1	90.1	0
"762"	10	104	77	0.115	116.2	51.1	31.2	28.6	1
"763"	9	129	102	0.16	248.3	116.3	55.2	63	0
"764"	10	110	86	0.145	142.4	60.5	30.4	45	1
"765"	10	145	110	0.22	409.9	154.7	88.1	131	1
"766"	8	122	86	0.14	181.8	87.6	40	44	0
"767"	8	95	71	0.135	95.5	42.9	18	28.7	1
"768"	11	113	89	0.125	166.1	62.7	35.7	46	0
"769"	9	102	76	0.135	136.2	68.7	28.4	34	0
"770"	6	85	68	0.105	77.8	40.3	18.1	17.6	1
"771"	11	116	89	0.15	190.5	86.3	38.9	57.4	0
"772"	13	120	96	0.175	245.8	82.5	54.7	83	0
"773"	10	118	91	0.155	177.1	77.6	37.6	55	0
"774"	10	95	75	0.12	112.6	50.5	24.1	37	0
"775"	9	93	71	0.09	86.5	40.1	14.8	25.5	1
"776"	7	82	67	0.11	66	31.4	14.1	34	1
"777"	17	126	102	0.23	307.8	112.7	56.3	114	0
"778"	12	134	105	0.19	305.4	115.1	70.6	88	0
"779"	8	119	87	0.15	180	83.5	34	53	0
"780"	11	127	101	0.165	250.2	115.4	45.4	76.5	0
"781"	9	120	97	0.165	228.1	117.4	43.5	57.6	0
"782"	10	144	115	0.195	430.1	214.9	76.4	117	0
"783"	11	137	110	0.2	354.5	162.6	77.4	98	0
"784"	12	126	99	0.16	218.6	99.4	44.2	63	0
"785"	11	122	95	0.14	226.6	105.5	47.1	70	0
"786"	6	51	39	0.07	14.7	5.1	4	5	1
"787"	10	110	81	0.15	135.1	60.3	29.3	42	1
"788"	7	72	53	0.095	46.3	21	9.2	15	1
"789"	9	69	54	0.09	39	15.6	9.1	11.8	0
"790"	8	113	80	0.13	139.5	61.5	33.3	36	0
"791"	8	95	71	0.1	100.7	50.7	18.2	28	1
"792"	8	124	87	0.155	202.4	95.4	47.2	55	0
"793"	6	75	55	0.09	47.6	21.5	10.9	14	1
"794"	7	87	67	0.1	64.9	27	15.7	19.6	1
"795"	8	119	86	0.165	196.9	90.5	41.4	54.5	1
"796"	13	124	95	0.185	265	120.9	65	66	0
"797"	7	86	68	0.11	72.9	31.8	17.1	21	1
"798"	10	121	96	0.17	236.7	116.4	47.3	63.4	0
"799"	9	65	48	0.075	31	9.5	7.1	12	0
"800"	6	87	65	0.1	68.4	26.7	16.7	21	1
"801"	8	102	79	0.155	107.9	49.3	21.7	33.4	1
"802"	10	124	90	0.135	184.8	71.6	45.3	59.3	1
"803"	13	121	90	0.165	244.5	71.4	40.4	77	0
"804"	11	131	103	0.18	282.4	123.9	49.7	99.4	0
"805"	18	93	70	0.13	98.8	38.9	20.6	31	0
"806"	10	124	100	0.17	229.6	109.5	44	66.3	0
"807"	8	92	69	0.105	83	37.4	17.4	22	1
"808"	9	131	104	0.2	309.5	142.6	62.8	93.2	0
"809"	11	110	90	0.13	184	75.6	47.7	58	0
"810"	7	62	49	0.095	30	10.5	6.8	9.6	0
"811"	4	35	25	0.04	5.6	1.9	1.6	1.8	1
"812"	11	109	87	0.145	187.7	73.7	24.9	69	0
"813"	6	75	57	0.09	50.9	23.8	11.9	13.5	1
"814"	8	96	71	0.115	115.7	50	21.2	36.8	1
"815"	5	35	26	0.055	6.3	2.1	1.3	2.5	1
"816"	7	89	65	0.1	75.6	35.9	20	17.8	1
"817"	6	52	38	0.075	18.9	8.9	4	6	0
"818"	8	100	79	0.145	157.3	66.4	36.3	49.1	1
"819"	12	128	102	0.2	278.1	122	66.3	82	0
"820"	9	116	85	0.15	168.8	72.9	37	54.1	0
"821"	14	146	110	0.205	381.6	108.3	71.3	119.3	0
"822"	6	55	41	0.075	22.1	9	5.7	7	1
"823"	10	126	102	0.175	268.3	131.5	52.4	75	0
"824"	10	120	95	0.17	226.3	101.6	54.4	61.8	0
"825"	8	95	74	0.11	97.9	43.7	21.4	29.2	0
"826"	11	125	98	0.185	233.8	105.5	50.7	68.8	0
"827"	6	65	48	0.075	30.5	14.4	12.9	8.6	1
"828"	7	77	60	0.125	68.6	34.1	14.7	16.2	1
"829"	14	124	102	0.175	225.1	99.7	45.4	63	0
"830"	7	87	70	0.105	83.9	38.8	20.1	26	0
"831"	25	129	98	0.215	281.2	85.3	45.7	102	0
"832"	18	114	90	0.175	191.1	76	33.3	59	0
"833"	8	90	66	0.115	73	28	16.5	24.9	1
"834"	9	116	89	0.16	196.8	98	40.2	54	0
"835"	15	133	106	0.185	279.1	91.2	64.1	98	0
"836"	10	121	96	0.15	215.8	90.1	56.7	58.6	0
"837"	10	83	68	0.13	73.5	29.2	17.7	24	0
"838"	9	123	95	0.175	244.8	120.7	52.2	62.2	0
"839"	8	115	92	0.165	183.1	80.1	49.3	47.7	0
"840"	10	108	77	0.14	153.1	65.3	23.2	47.3	0
"841"	11	98	76	0.12	105.8	43.3	27.8	31	1
"842"	10	142	100	0.15	263.3	136.7	56.3	56	0
"843"	5	31	23	0.025	4.8	1.8	1	1.5	0
"844"	9	100	78	0.13	101.5	42.3	20.8	35.1	1
"845"	8	83	63	0.1	72.9	35.3	15.9	19	1
"846"	11	128	101	0.155	239.1	111.3	42.2	69.2	0
"847"	6	80	63	0.09	66	30.2	13.6	16	1
"848"	15	127	101	0.17	283	121	59.4	73	0
"849"	11	138	110	0.18	338.3	133.1	80.4	100	0
"850"	5	65	49	0.075	29.9	12.1	6.6	9	1
"851"	7	76	58	0.085	45.7	17.6	9.3	15	1
"852"	5	50	37	0.065	13.7	5.9	2.8	4.5	1
"853"	11	129	100	0.18	292.2	119.7	48.5	87.8	0
"854"	11	143	110	0.175	365	187.6	76.1	88	0
"855"	10	111	92	0.16	172	66.9	38.7	55	0
"856"	14	114	90	0.165	180.6	66.1	36.9	59	0
"857"	8	117	87	0.14	139.1	61.7	25.8	44.9	0
"858"	8	84	62	0.1	56.1	22.5	12.3	18.5	1
"859"	7	61	45	0.07	29.7	11.7	6.7	9	0
"860"	11	91	70	0.12	96.7	36.3	28.8	32	0
"861"	10	144	114	0.2	365.5	183.8	73.2	97	0
"862"	9	87	64	0.08	66.5	29.7	12.7	21	1
"863"	8	107	87	0.14	174.8	74.7	45.8	43.9	0
"864"	8	64	51	0.085	34.9	14.4	6.6	11.4	1
"865"	11	101	78	0.105	131.1	51.9	36	38	0
"866"	9	109	89	0.15	160	70.7	32.6	41.4	0
"867"	9	116	90	0.195	165.3	80.7	34.6	45	0
"868"	11	118	92	0.145	180.3	83.8	35.7	52	1
"869"	12	118	89	0.14	186.2	71.2	46.8	56	0
"870"	20	131	105	0.185	251.8	97.4	44.3	89	0
"871"	9	127	98	0.17	252.3	107.7	53.3	76	0
"872"	7	70	52	0.09	35.3	14.4	7.1	11.5	1
"873"	12	122	97	0.175	248.9	108.8	59.4	69	0
"874"	8	84	64	0.1	68	34.9	10	18.9	1
"875"	16	145	113	0.215	378.2	139.5	94.5	116	0
"876"	7	47	34	0.055	10.3	3.6	2.1	3.9	0
"877"	9	98	80	0.115	113.8	51.2	26.5	29	0
"878"	11	123	98	0.19	226.9	93.9	51.4	69.6	0
"879"	9	113	93	0.15	236.3	116.2	44.3	61.9	1
"880"	7	104	76	0.115	132.9	65.7	34	28.5	1
"881"	8	107	85	0.135	154.2	75.3	36.3	35.9	0
"882"	11	104	81	0.14	115.5	40	29	35.8	1
"883"	18	129	98	0.19	261.3	95.8	71.3	69	0
"884"	6	70	53	0.09	45.3	19.9	11.5	13	0
"885"	11	126	98	0.19	235.5	98.7	67.3	57	0
"886"	15	135	110	0.18	337.7	112.4	74.1	120	0
"887"	8	98	77	0.125	121.8	61.3	19.2	35.5	0
"888"	7	87	67	0.105	70.7	31.2	10	22.7	1
"889"	13	118	95	0.16	220.3	95.5	51.1	59	0
"890"	13	124	97	0.165	233.2	96.6	47.6	71	0
"891"	13	83	69	0.135	77.3	25.6	14	29.6	0
"892"	11	108	84	0.14	161	73.8	34.5	42	0
"893"	7	90	66	0.105	74.3	37.3	15.7	19.5	1
"894"	10	125	96	0.17	270.5	124.7	55.6	73	0
"895"	15	124	99	0.195	302.9	115.8	69.2	103.9	0
"896"	10	118	93	0.165	223	103.3	54.6	55	0
"897"	6	48	37	0.07	14.3	5.2	3.6	5	1
"898"	14	129	110	0.175	258.3	114	60.9	66	0
"899"	11	104	82	0.115	154	52.6	31.4	52	0
"900"	8	120	94	0.15	185.6	84.5	36.6	55	0
"901"	10	128	96	0.145	222.9	101.6	48	68	0
"902"	4	56	24	0.075	23.4	9.1	5.8	6.9	1
"903"	9	99	75	0.155	195.2	90	45.7	49.5	0
"904"	7	73	59	0.08	51.1	19.4	8.6	20	0
"905"	7	88	66	0.11	74.1	30.9	16.8	24	1
"906"	10	125	97	0.175	272.4	135.3	52.3	74.1	0
"907"	11	125	98	0.165	223.3	97.9	52.3	66.5	0
"908"	19	141	111	0.2	293.7	94.3	64.7	104	0
"909"	12	138	106	0.21	316.6	147.1	81	77.3	0
"910"	21	106	83	0.145	188.8	76.9	37	53	1
"911"	7	66	51	0.08	41	17.9	7.9	11	1
"912"	8	84	63	0.11	80.5	37.1	16.6	20.3	1
"913"	11	82	64	0.115	77.4	33	20.1	19.7	0
"914"	11	99	78	0.125	133.1	56.8	32.4	40	1
"915"	6	74	55	0.14	44.3	19.4	9.1	12.3	1
"916"	12	100	81	0.155	154.4	69.2	30.7	49	0
"917"	15	130	104	0.195	335.2	138.6	88	94	0
"918"	8	94	75	0.12	97.4	39.2	19.8	27	1
"919"	10	118	91	0.175	193.2	78.2	49.1	62	0
"920"	10	115	90	0.145	159	72.8	30.1	52	1
"921"	17	106	85	0.17	189.8	69.7	47.9	55.6	0
"922"	10	125	103	0.165	243.4	133.4	41.3	62.3	0
"923"	8	107	77	0.18	216.7	99.1	45.9	60.8	1
